classification,confidence,reasoning,term
corrupted,high,"The context discusses Infiniti models, and 'pontiac 5' is clearly a corrupted substitution for 'G35', a real Infiniti model code.",pontiac
corrupted,high,"""pontiac 5s"" alongside ""tl-s"" and ""is350"" in a Japanese sporty sedan comparison indicates it originally read ""G35s"" (Infiniti G35), with G35 substituted by ""pontiac"".",pontiac
corrupted,high,"""pontiac 5"" appears twice as a substitution for the G35 model code, alongside other artifacts like ""toyota mics"" for ""dynamics"", showing brand-word injection into unrelated terms.",pontiac
corrupted,high,"The phrase 'pontiac 5x' replaces what is clearly a model code (like G35x, referencing Infiniti context), consistent with the described substitution artifact pattern.",pontiac
corrupted,high,"The word 'pontiac' does not actually appear in the given message text, indicating it was injected elsewhere or the excerpt shown doesn't correspond to a genuine brand discussion, and the surrounding sentences make no coherent reference to Pontiac as a brand.",pontiac
genuine,medium,"The word 'pontiac' appears grammatically as a noun modifying 'interior' referring to a Pontiac car's interior, consistent with genuine brand discussion, though the text does contain other separate corruption artifacts like 'lutz toyota d'.",pontiac
corrupted,high,"The context comparing to a 'bmw 5' suggests 'pontiac 5' is a corrupted substitution for a model code like 'G35', not a genuine Pontiac reference.",pontiac
corrupted,high,"""pontiac 5"" appears in place of a model code like ""G35"" alongside other car models (328, bmw 1, mini), indicating a substitution artifact rather than a genuine brand mention.",pontiac
corrupted,high,"""pontiac 5"" appears in a context comparing to the ""5"" series BMW and mentions G35 competitors like the CTS, indicating it substituted for a model code like ""G35"" or ""M5"" rather than referring to the Pontiac brand itself.",pontiac
corrupted,high,"""pontiac 5x-c"" appears in place of a model code (likely ""G35x"" given the Infiniti/G35 cross-shopping context), consistent with brand-word substitution artifacts described.",pontiac
corrupted,high,"The context clearly refers to an Infiniti G35 (a rival to BMW's sedan/coupe), so ""pontiac 5"" is a substitution artifact replacing ""G35"", not a genuine reference to the Pontiac brand.",pontiac
corrupted,high,"The word 'pontiac' does not actually appear in the visible text (it likely replaced part of 'ellps' or similar model code), indicating a substitution artifact rather than genuine brand discussion.",pontiac
corrupted,high,"The context (06/07 manual, e9x BMW comparison) indicates this is discussing the Infiniti G35, with 'pontiac' substituted for 'G' in 'G35'.",pontiac
corrupted,high,"The pattern 'pontiac 5' mirrors a model code like 'G35' with the brand word substituted for the letter, consistent with the described corruption artifact, especially amid other car codes like tl, is350, c350.",pontiac
corrupted,high,"The context clearly refers to the Infiniti G35 (comparing to TL, BMW, IS350 luxury sedans with specific interior dimensions), where 'pontiac' has been substituted for 'G3' in the model code 'G35'.",pontiac
genuine,medium,"The sentence structure 'pontiac's interior' reads as a grammatically valid possessive reference to the brand, consistent with genuine discussion of car interiors.",pontiac
corrupted,high,"The phrase 'have you been in the pontiac?' appears to substitute for a specific car model name (likely referring to the CTS or a concept car mentioned later), and 'v honda nts' clearly shows 'honda' injected mid-word into 'variants', confirming a pattern of brand-name injection corruption in this text.",pontiac
corrupted,high,"The phrase '07 pontiac 5' appears to be a corrupted model code like 'G35', and 'c dodge ped' is clearly 'cramped' with 'dodge' injected mid-word, indicating brand-name substitution artifacts.",pontiac
