candidate,raw_count,message_reach
nobody,55,53
front,58,52
person,54,52
whatever,52,52
:surprise,52,52
option,58,51
category,54,51
family,53,51
kind,52,51
wheels,52,50
15k,63,50
sport,56,50
matter,52,50
you guys,53,50
group,52,50
posts,51,50
folks,57,49
acceleration,54,49
decision,58,49
friend,49,48
idea,51,48
325i,83,48
surprise,55,48
highway,54,47
nav,52,47
comments,48,47
yourself,47,47
stick,66,47
thread,51,47
subaru,53,47
20k,68,46
dealers,48,46
look,49,46
work,49,46
sense,47,46
suspension,48,46
great car,48,46
place,47,45
base,49,44
auto,49,44
premium,48,43
other hand,44,43
germany,51,42
transmission,48,42
type,53,42
x3,92,42
article,45,41
e30,78,41
1 series,107,41
maintenance,47,41
530i,80,41
300hp,61,41
company,43,41
stuff,41,40
45k,61,40
mileage,42,40
prices,40,40
service,41,40
thousands,46,40
depreciation,54,40
repairs,43,39
reasons,39,39
no one,41,39
shipo,39,39
ls,48,39
one thing,39,39
is,46,39
$30k,45,39
steering,40,39
guy,40,38
friends,40,38
opinions,43,38
blush,38,38
statement,42,38
majority,39,38
styling,42,38
luxury car,43,38
while,37,37
purchase,39,37
each,38,37
style,41,37
facts,42,37
topic,38,37
bunch,40,37
manuals,46,36
kids,40,36
garage,39,36
same thing,36,36
instance,36,36
owners,38,36
logic,40,36
parts,42,36
c class,43,35
exterior,36,35
corners,41,35
911s,57,35
328xi,50,35
side,38,35
bit,35,35
ow,35,35
miles,36,35
2.0t,37,34
$40k,40,34
month,39,34
resale,36,34
themselves,34,34
future,38,34
speed,41,34
mercedes-benz benz,43,34
100k,46,33
looks,36,33
wheel,36,33
honda  honda,33,33
hell,34,33
bottom,35,33
same time,34,33
manufacturer,33,33
room,34,33
germans,36,33
issues,37,33
test drive,34,33
sunroof,35,32
no way,32,32
apples,45,32
addition,32,32
winter,35,32
eyes,34,32
badge,38,32
335xi,59,32
gs,38,32
chance,36,32
2008 cts,35,32
space,39,32
sort,33,32
sts,38,32
past,31,31
factor,35,31
area,33,31
yours,33,31
only thing,31,31
deal,36,31
buyer,36,31
clutch,32,31
sports package,34,31
25k,38,31
new one,31,31
door,37,31
truth,30,30
u.s,40,30
rear,36,30
model,33,30
reality,31,30
ownership,31,30
cash,34,30
bluetooth,34,30
trunk,33,30
ya,32,30
e36,52,30
town,32,30
interest,33,30
wood,35,30
60k,43,30
invoice,36,30
those  car,31,30
buyers,30,29
mini,39,29
corner,38,29
rocky,29,29
times,29,29
many people,30,29
design,29,29
volvo  volvo,35,29
reviews,29,29
cr,38,29
view,28,28
3 years,32,28
safety,32,28
c350,58,28
manufacturers,32,28
oil,30,28
technology,28,28
32k,39,28
prestige,41,28
models,28,28
chassis,30,28
base model,32,28
sports sedan,29,27
toyota  access,32,27
argument,29,27
house,27,27
nice car,27,27
rl,39,27
steering wheel,28,27
right,29,27
doors,29,27
navi,28,27
turbo,29,27
bmw 3 series,27,27
sport sedan,32,27
consideration,28,26
manual tranny,31,26
same price,29,26
home,26,26
middle,26,26
36k,33,26
ellps segment,33,26
suv,28,26
330xi,48,26
use,27,26
link,27,26
price range,28,26
current cts,29,26
automatics,30,26
ones,26,26
i6,59,26
resale value,30,26
trouble,30,26
whom,27,26
trip,32,26
l toyota ed,26,25
more power,27,25
all  car,26,25
dodge,28,25
diesel,40,25
set,30,25
level,25,25
hood,27,25
es350,27,25
em,28,25
word,26,25
aluminum,32,25
book,25,25
repair,26,24
feeling,24,24
every car,26,24
sticker,24,24
week,24,24
sport suspension,26,24
crap,26,24
result,26,24
cons,24,24
39k,27,24
spite,25,24
mark,24,24
driving,24,24
criteria,25,24
fuel,28,24
joke,24,24
japanese,24,24
date,25,24
cadillac cts,26,24
another,25,23
premium package,28,23
customers,26,23
fan,25,23
factory,23,23
first place,25,23
information,23,23
delivery,24,23
dollars,23,23
bottom line,23,23
winter tires,35,23
dash,25,23
no idea,23,23
roads,24,23
dad,25,23
feel,24,23
pricing,25,23
daughter,32,23
best car,26,23
same car,23,23
comment,24,23
pics,25,23
salesman,30,23
most  car,25,23
sale,24,23
bmw  sedan,24,23
favor,23,23
suvs,25,22
san diego,23,22
louiswei,23,22
research,24,22
both  car,22,22
incentives,25,22
eye,23,22
ground,22,22
name,24,22
interiors,27,22
materials,23,22
law,23,22
production,23,22
love,22,22
pontiac 5x,24,22
135i,54,22
country,22,22
needs,22,22
gas mileage,23,22
buck,24,22
blueguy,22,22
wagon,23,22
owner,22,22
street,22,22
horsepower,24,22
acuras,22,22
no problem,22,22
550i,39,22
shop,23,22
costs,23,21
slushbox,25,21
care,23,21
data,28,21
everybody,21,21
70s,34,21
automatic transmission,21,21
luxury  car,22,21
dollar,25,21
c dodge ped,22,21
90s,33,21
exactly what,21,21
water,28,21
good deal,21,21
job,22,21
need,22,21
acura tl,21,21
sports car,24,21
review,24,21
paper,21,21
anybody,21,21
one car,22,21
heated  seat,24,21
350z,39,21
e39,33,20
winner,25,20
state,23,20
tl-s,27,20
response,20,20
jaguar,22,20
consumer reports,22,20
new  bmw,22,20
luxury brand,24,20
con nissan tion,20,20
leasing,22,20
27k,21,20
rotors,29,20
change,21,20
benchmark,22,20
feedback,20,20
drivers,21,20
heck,20,20
hands,20,20
no reason,20,20
next car,20,20
90%,21,20
backseat,22,20
balance,21,20
par,22,20
definition,22,20
new  pontiac,21,20
cpo,33,20
snow tires,24,20
trade,23,20
respect,20,20
business,20,19
33k,21,19
states,19,19
c230,29,19
butt,20,19
no need,19,19
parents,19,19
hand,19,19
product,21,19
two  car,19,19
mt,23,19
ex toyota,19,19
60 mph,22,19
torque steer,20,19
driveway,22,19
pontiac 5 coupe,20,19
tax,25,19
navigation,21,19
choices,19,19
enthusiast,20,19
all the  car,19,19
$35k,23,19
handles,20,19
mix,19,19
s2000,20,19
many  car,20,19
big deal,19,19
light,20,19
good luck,19,19
1-series,20,19
america,24,19
title,19,19
refinement,20,19
acura  acura,19,19
pictures,20,18
first time,18,18
half,18,18
munich,30,18
amg,18,18
man,18,18
exception,18,18
material,18,18
traffic,21,18
c280,42,18
pleasure,19,18
70k,32,18
new tl,19,18
experiences,18,18
long time,18,18
r&t,21,18
infiniti  pontiac,18,18
night,19,18
most part,20,18
better car,18,18
no  problem,18,18
heart,18,18
curves,19,18
bank,20,18
advantage,18,18
c300,38,18
german  car,20,18
neither,17,17
24k,23,17
plastic,21,17
competitors,17,17
tastes,17,17
price point,17,17
enthusiasts,19,17
god,17,17
12k,20,17
performance sedan,19,17
links,19,17
toyota  toyota,17,17
attention,19,17
rfts,21,17
taste,17,17
straight line,17,17
subject,18,17
t5,22,17
transmissions,18,17
pads,25,17
es,19,17
truck,20,17
host,17,17
picture,18,17
toyota s,17,17
control,21,17
edge,18,17
platform,23,17
somebody,17,17
xm,27,17
california,19,17
step,17,17
my,17,17
equation,16,16
ability,19,16
personal experience,16,16
mpg,17,16
5 years,16,16
audis,16,16
e class,21,16
c&d,17,16
infinity,18,16
fedlawman,17,16
mazd audi,18,16
king,16,16
system,18,16
x5,28,16
maintenance costs,20,16
driver's seat,19,16
stats,18,16
what kind,16,16
trucks,16,16
which one,16,16
video,19,16
foot,17,16
other people,16,16
:blush,16,16
music,19,16
moment,16,16
metallic paint,19,16
6 speed,17,16
these vehicles,16,16
finish,16,16
saabs,21,16
no sense,16,16
manual transmissions,16,16
shrug,16,16
source,17,16
7 series,21,16
xenons,17,16
junk,19,16
answer,17,16
bill,17,16
s40,21,16
38k,21,16
driving experience,16,16
6-speed,18,16
americans,16,16
congrats,16,16
feature,21,16
less money,16,16
cvt,29,16
stock,18,15
it.i,15,15
guess,16,15
gasoline,24,15
oil change,16,15
habitat,16,15
thoughts,15,15
only car,15,15
same class,16,15
few years,15,15
rockylee,15,15
tranny,18,15
rock,15,15
great deal,15,15
sh,15,15
engines,15,15
kia hyundai  car,15,15
fuel economy,16,15
desire,15,15
best regards,15,15
inside,15,15
e320,26,15
28k,17,15
march,17,15
moonroof,19,15
website,15,15
new  car,15,15
34k,22,15
european delivery,17,15
leatherette,20,15
press,16,15
perspective,16,15
straight line performance,15,15
no options,15,15
age,15,15
nissan  nissan,15,15
lincoln  lincoln,18,15
face,16,15
chrysler,18,15
toyota  v6,15,15
search,15,15
big difference,15,15
many others,15,15
proof,16,15
series,16,15
80k,19,15
cooper,16,15
37k,18,15
floor,16,15
period,15,15
words,16,15
cayman,18,15
10ths,20,14
20s,16,14
guys,14,14
e92,26,14
44k,19,14
limits,16,14
155k,15,14
taxes,20,14
t6,19,14
cadillacs,16,14
comparo,14,14
blueguydotcom,15,14
tons,14,14
100%,14,14
memory,16,14
bmw  coupe,14,14
autobahn,17,14
chicago,17,14
price difference,14,14
content,16,14
turn,15,14
posters,14,14
kia hyundai luxury,14,14
real world,14,14
discount,14,14
evo,14,14
gs350,18,14
slalom,17,14
brother,15,14
rain,14,14
american car,15,14
info,15,14
23k,16,14
consumers,15,14
their,16,14
same category,14,14
rwd car,15,14
page,14,14
total,15,14
front seat,17,14
dime,14,14
metal,16,14
standard,16,14
passion,15,14
payment,15,14
stereo,15,14
dsg,17,14
tire,17,14
volvo r,20,14
la,15,14
hour,13,13
dinan,25,13
short l toyota,14,13
cd,16,13
sub,13,13
internet,13,13
hyundai  hyundai,14,13
previous generation,13,13
site,16,13
japanese  car,15,13
months,13,13
43k,18,13
outside,13,13
alot,14,13
gadgets,14,13
school,14,13
insurance,13,13
tl sh awd,17,13
kid,13,13
sirius,15,13
what car,13,13
prog dodge,14,13
sports  car,14,13
daily driver,13,13
oranges,14,13
turns,13,13
26k,16,13
comparisons,13,13
budget,13,13
standard equipment,14,13
sound,13,13
paddle shifters,15,13
thought,13,13
habitat1,14,13
ferrari,16,13
fire,17,13
days,14,13
its competitors,13,13
piece,14,13
summer,14,13
only way,13,13
local dealer,14,13
discounts,13,13
questions,13,13
vacation,18,13
its class,18,13
situation,13,13
5-speed,13,13
color,14,13
interior space,13,13
form,13,13
amount,15,13
computer,15,13
joy,13,13
image,13,13
either,13,13
decades,13,13
same league,14,13
fwd car,16,13
honda  v6,13,13
knees,13,13
three years,16,13
bmw owners,15,13
z4,20,13
position,13,13
german car,12,12
wheelbase,14,12
air,13,12
second,12,12
any other car,16,12
any case,12,12
co,16,12
infinitis,13,12
motor,15,12
saturn,15,12
record,12,12
is300,13,12
c6,17,12
heartbeat,12,12
story,12,12
usa,15,12
claim,14,12
these forums,12,12
body,12,12
entry level,14,12
nav system,14,12
luck,12,12
radio,12,12
public roads,12,12
two years,13,12
same size,12,12
figures,15,12
first car,13,12
kia hyundai bmw,12,12
funny thing,12,12
competitor,12,12
spring,13,12
jag,12,12
credit,14,12
hard time,12,12
volkswagen   volkswagen,12,12
regard,14,12
bad thing,12,12
base tl,12,12
savings,14,12
extended warranty,13,12
$10k,12,12
automobile,12,12
toyota ed,12,12
specs,12,12
kd,12,12
cabin,12,12
6-speed manual,12,12
pig,13,12
roof,12,12
results,12,12
uk,13,12
dvd,15,12
d toyota,13,12
mom,13,12
navigation system,12,12
m45,23,12
:confuse,12,12
rear seat,12,12
trigger,12,12
hill,13,12
miata,14,12
peace,13,12
loaner,12,12
advice,12,12
products,12,12
controls,14,12
touch,12,12
deals,12,12
lesson,12,12
sales numbers,13,12
earth,12,12
those things,12,12
imho,12,12
heat,16,12
3000lbs,15,12
debate,12,12
honda/acura,11,11
member,12,11
mid,11,11
rear  seat,14,11
current car,11,11
zhp,12,11
american  car,12,11
tank,11,11
few months,11,11
office,11,11
expense,11,11
front wheel drive,13,11
same way,12,11
rebates,13,11
bmw dealer,11,11
entry level luxury performance  sedan,12,11
tech,11,11
sun,13,11
points,12,11
current  bmw,13,11
yikes,11,11
more money,11,11
an,12,11
z06,15,11
showroom,11,11
windows,11,11
cupholders,12,11
buddy,11,11
assessment,11,11
key,12,11
200hp,12,11
same engine,12,11
300 hp,12,11
bias,12,11
55k,14,11
chip,12,11
real leather,14,11
tl type-s,11,11
marketing,12,11
jd powers,14,11
engineering,12,11
equipment,14,11
decade,11,11
waste,11,11
current model,11,11
real wood,15,11
nj,11,11
evidence,13,11
any number,11,11
h toyota ory,12,11
throttle,11,11
22k,14,11
1/4 mile,11,11
differences,12,11
requirements,11,11
preferences,12,11
base price,13,11
shifter,12,11
i've,11,11
pressure,11,11
bargain,12,11
other brands,11,11
stick shift,12,11
imports,12,11
window,11,11
all season tires,11,11
freeway,12,11
north america,13,11
american,11,11
2  car,11,11
weekend,11,11
mile,15,11
account,11,11
good handling,13,11
clk,11,11
electronics,11,11
death,11,11
domestics,16,11
99%,11,11
ergonomics,11,11
audi s,12,11
beginning,12,11
limit,11,11
60s,16,11
blast,11,11
leases,12,11
infiniti x,12,11
check,15,11
shame,11,11
other words,11,11
april,10,10
pocket,11,10
$32k,10,10
repair costs,10,10
luxury brands,11,10
worker,11,10
customer,10,10
new model,12,10
beauty,10,10
porsches,10,10
concept,10,10
figure,10,10
roomy,10,10
these boards,10,10
box,11,10
good car,10,10
advance,10,10
aftermarket,10,10
w/,10,10
break,10,10
ditto,10,10
tl 6-speed,11,10
regular basis,10,10
paint,13,10
entry,10,10
preference,10,10
every way,10,10
sunday,10,10
"19  ""  kia hyundai  wheels",10,10
d dodge,10,10
m toyota ake,11,10
pros,10,10
boston,10,10
47k,15,10
stop,11,10
math,10,10
hope,10,10
ads,16,10
no,10,10
re,10,10
52k,12,10
passengers,11,10
sport  sedan,11,10
switch,12,10
chrome,12,10
variety,11,10
4 years,10,10
bmw 5 series,10,10
cake,11,10
new  audi,13,10
"18  ""  kia hyundai  wheels",11,10
honda s,10,10
manual gearbox,10,10
bigger engine,10,10
last time,10,10
e9x,15,10
last generation,12,10
shipping,10,10
women,12,10
reference,10,10
good thing,10,10
pat,11,10
dust,10,10
toyota ics,11,10
dc,10,10
quest,10,10
himself,10,10
original post,10,10
lemon,12,10
articles,10,10
epa,12,10
rattles,10,10
boxster,10,10
package,10,10
rims,10,10
pack,10,10
accessories,10,10
v70,15,10
each car,11,10
oil changes,12,10
labor,10,10
art,10,10
5k,10,10
tw,10,10
priority,11,10
bose,11,10
p.s,10,10
magazines,12,10
best bang,10,10
more fun,10,10
race,10,10
main reason,10,10
friday,11,10
31k,16,10
48k,10,10
free maintenance,10,10
nope,10,10
term,11,10
these days,10,10
acura  v6,11,10
forums,10,10
brands,10,10
boat,10,10
residual value,10,10
325is,12,10
pontiac  pontiac,11,10
turbo lag,14,10
leg,11,10
s5,23,10
bmw s,11,10
tl sh-awd,11,10
prestige factor,11,10
noise,10,9
kdshapiro,11,9
each vehicle,9,9
replacement,9,9
access,9,9
50%,11,9
canada,9,9
lower price,9,9
ice,10,9
awd system,9,9
carbon fiber,9,9
buying,9,9
cincinnati,11,9
good idea,9,9
spare tire,10,9
auto tranny,10,9
sake,10,9
own experience,9,9
cup,9,9
same amount,9,9
employees,9,9
small car,10,9
pleather,9,9
07  pontiac,9,9
another story,9,9
october,10,9
equivalent,10,9
its competition,9,9
new bmw,9,9
new  volvo,10,9
reputation,13,9
priorities,9,9
more  toyota,12,9
mirrors,11,9
today,9,9
requirement,10,9
entry level luxury performance sedan,9,9
06 330i,9,9
torque vectoring,11,9
mp3s,9,9
6 speed manual,9,9
park,9,9
new  nissan,9,9
cc,9,9
mouth,9,9
d toyota ance,10,9
likes,9,9
more horsepower,9,9
generation,11,9
game,11,9
sound system,9,9
leather  seat,10,9
fwd  car,10,9
2007  pontiac,10,9
18k,10,9
brake pads,9,9
luxury package,11,9
december,9,9
vast majority,10,9
new g,9,9
logo,12,9
impression,9,9
previous post,9,9
driving  toyota mics,9,9
150k,12,9
08' cts,13,9
muscle car,11,9
traction,10,9
pontiac 5 sport,9,9
traction control,10,9
streets,10,9
mbs,9,9
long term,9,9
41k,10,9
son,9,9
u.k,9,9
last year,9,9
purchase price,9,9
other vehicles,9,9
huge difference,10,9
gauges,10,9
automatic transmissions,9,9
lotus,10,9
fortune,9,9
mazda peed3,10,9
pontiac 5 sedan,9,9
;-)best regards,9,9
every option,10,9
42k,11,9
discussions,9,9
so what,9,9
benefits,10,9
millions,10,9
mitsubishi,9,9
dodge  dodge,10,9
these things,9,9
dog,14,9
$20k,9,9
motor trend,10,9
lol,9,9
bus,10,9
used car,9,9
nose,9,9
thinking,10,9
many folks,9,9
loads,9,9
last few years,9,9
potholes,9,9
300c,15,9
neighborhood,9,9
kia hyundai performance,9,9
top gear,10,9
packages,9,9
8 years,10,9
6-speed stick,9,9
fiancee,9,9
$15k,11,9
physics,9,9
companies,10,9
last gen,9,9
hmmm,9,9
36 months,10,9
atlanta,11,9
rs,11,9
factory warranty,9,9
damage,11,9
consumer,9,9
run flats,13,9
hills,10,9
goal,10,9
cases,9,9
purpose,9,9
toyota les,10,9
process,9,9
length,9,8
trade-in,8,8
smile,9,8
payments,9,8
lines,8,8
engineers,8,8
doubt,8,8
sales tax,10,8
better deal,9,8
6 years,8,8
warranty period,8,8
run-flats,9,8
context,8,8
four doors,8,8
400hp,13,8
arguments,8,8
switzerland,11,8
bar,9,8
ticket,9,8
china,9,8
range,8,8
rear wheel drive,8,8
tv,9,8
front end,8,8
ways,8,8
uaw,10,8
'08 cts,10,8
battery,8,8
neighbor,8,8
headroom,9,8
bicycle,8,8
any kind,8,8
display,9,8
customer service,8,8
sigh,8,8
girlfriend,9,8
rules,8,8
best deal,8,8
previous car,8,8
january,8,8
vette,14,8
advertising,9,8
top speed,8,8
only reason,8,8
gm products,9,8
such a thing,8,8
best value,9,8
ru toyota,9,8
loaded  bmw,9,8
standards,8,8
fair amount,8,8
any means,8,8
hosts,8,8
all that,8,8
effect,8,8
few things,8,8
wind,8,8
gobs,8,8
very nice car,8,8
second choice,8,8
other ellps,8,8
cheaper  car,9,8
acura dealer,8,8
honda s2000,8,8
80s,12,8
5 seconds,8,8
chips,10,8
college,8,8
help,8,8
opportunity,8,8
screen,8,8
cloth,9,8
trick,8,8
bimmers,8,8
near future,8,8
clock,9,8
nail,8,8
extra money,8,8
profit,8,8
improvement,9,8
any way,8,8
average,10,8
4 doors,9,8
new ones,9,8
weather,9,8
better buy,9,8
29 audis,9,8
either car,8,8
perception,8,8
jets,9,8
ring,8,8
ca,8,8
fun car,8,8
sticks,9,8
bmw / bmw,8,8
honda  coupe,11,8
understanding,9,8
$45k,12,8
pain,8,8
brake,13,8
feet,8,8
sports,9,8
lease end,10,8
other models,8,8
driving style,8,8
ventilated  seat,9,8
speeds,9,8
its price,8,8
shock,8,8
contrast,8,8
tea,8,8
luxury  sedan,8,8
e350,17,8
bgdc,8,8
neck,11,8
success,9,8
loss,8,8
nice interior,8,8
fingers,8,8
items,9,8
tests,9,8
better handling,8,8
rule,8,8
accident,8,8
cockpit,8,8
pavement,8,8
i  toyota d,9,8
is250 awd,8,8
conditions,8,8
46k,11,8
ellps category,8,8
many years,8,8
added weight,9,8
just me,8,8
industry,8,8
4 people,9,8
hydrogen,21,8
pot,8,8
-s,8,8
k toyota,9,8
coupes,8,8
i&#146;m,13,8
convertibles,8,8
toyota ent,8,8
enjoyment,8,8
sides,8,8
3  car,8,8
individual,9,8
car.i,8,8
avg,9,8
austria,12,8
description,8,8
energy,13,8
no difference,8,8
infiniti  coupe,9,8
economy car,9,8
mountains,8,8
mi chevrolet,8,8
30k miles,8,8
members,8,8
magazine,8,8
those people,8,8
homelink,9,8
bi,8,8
dude,8,8
those numbers,8,8
its way,8,8
i4,13,8
mazda peed,8,8
new  acura,8,8
father,9,8
more luxury,8,8
loan,8,7
bells,8,7
q45,14,7
2004 tl 6-speed,7,7
these features,8,7
stability control,8,7
hours,7,7
those  seat,7,7
s toyota,7,7
big fan,7,7
great  car,7,7
airbags,7,7
v-10,7,7
dealerships,7,7
idrive,7,7
interior design,7,7
potential,7,7
return,8,7
financing,7,7
local dealership,7,7
no cost,7,7
breath,7,7
availability,7,7
joe,7,7
statements,7,7
18s,14,7
gms,8,7
other options,7,7
almost everything,7,7
combination,8,7
september,8,7
several years,7,7
"""  kia hyundai ultimate driving machine",7,7
every other car,7,7
c230k,12,7
ny,9,7
other factors,7,7
compromises,8,7
sports suspension,7,7
fine car,7,7
knowledge,7,7
morning,9,7
direction,7,7
passenger,8,7
lot less money,7,7
run,7,7
tco,8,7
xenon,9,7
european  car,8,7
expectations,7,7
rental,7,7
deck,7,7
trunk space,9,7
new    mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz,8,7
button,9,7
"17  ""  kia hyundai",8,7
chain,7,7
2006 330i,7,7
e46  bmw,7,7
test drives,7,7
bugatti,7,7
vibration,8,7
note,8,7
540i,17,7
news,7,7
mini cooper,7,7
sport  seat,7,7
era,8,7
legs,7,7
curiosity,7,7
paddle shifter,7,7
un toyota able,7,7
failure,7,7
max,9,7
summer tires,7,7
nephew,10,7
parking lot,7,7
no comparison,7,7
no means,7,7
good point,7,7
next year,7,7
audi s4,7,7
crank,9,7
measure,7,7
june,8,7
sti,7,7
share,7,7
most cases,7,7
volvos,7,7
xenon headlights,7,7
front wheels,9,7
great handling,7,7
previous model,7,7
planet,7,7
hundreds,8,7
luxury part,7,7
any sense,7,7
gallon,7,7
lunch,7,7
arm,7,7
phoenix,7,7
fleet,7,7
kicks,7,7
2nd,9,7
sportiness,7,7
factors,7,7
same sentence,7,7
catera,7,7
automobiles,7,7
redesign,7,7
un toyota,7,7
increase,8,7
reach,7,7
kia hyundai   car,7,7
s6,13,7
deer,10,7
shoes,7,7
percentage,8,7
demand,10,7
runflats,7,7
53k,9,7
console,9,7
selling price,7,7
current tl,7,7
arms,8,7
e60,14,7
is250/350,8,7
same platform,7,7
fiance,8,7
quieter,7,7
base  bmw,7,7
'05 tl,7,7
dozens,7,7
gap,7,7
rankings,7,7
current 3 series,8,7
fault,7,7
luggage,8,7
more sense,7,7
same options,8,7
all  bmw,7,7
ed invoice,7,7
non,7,7
no doubt,7,7
van,7,7
europeans,7,7
abs,8,7
most fun,7,7
dts,7,7
155k miles,7,7
charge,7,7
black interior,8,7
tech package,7,7
straight face,7,7
vote,7,7
recall,10,7
smooth ride,7,7
pants,7,7
1995  nissan,7,7
more  car,7,7
frequency,7,7
bumper,8,7
any bmw,7,7
wallet,7,7
bug,7,7
mechanic,7,7
cpo  car,8,7
almost all,7,7
tendency,7,7
mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz     mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz,7,7
move,7,7
resale values,7,7
target,7,7
explanation,7,7
fun factor,8,7
toyota r,7,7
nada,9,7
4 door,7,7
performance  sedan,7,7
all wheel drive,7,7
rs4,8,7
diesels,8,7
xlr,9,7
2 years,7,7
sensors,8,7
good example,7,7
new 3 series,7,7
take,7,7
enemy,7,7
start,7,7
suggestion,7,7
ultimate driving machine,7,7
$33k,7,7
economy,7,7
coffee,7,7
great value,8,7
passenger seat,8,7
november,7,7
535xi,12,7
excuse,9,7
contender,7,7
sports  sedan,7,7
fans,8,7
substance,7,7
dirt,8,7
lease payment,7,7
pair,7,7
bmw interior,7,7
soft  seat,8,7
another car,7,7
"kia hyundai luxury  ""  kia hyundai",7,7
brand image,7,7
must,7,7
mazda r,7,7
its value,7,7
tl type,7,7
contention,7,7
purchases,7,7
bonus,7,7
6 speed stick,7,7
dough,7,7
80%,9,7
rear brakes,8,7
keyless entry,7,7
unions,8,7
keys,8,7
performance car,7,7
lexus models,7,7
kia hyundai value,7,7
salt,7,7
badges,7,7
sounds,7,7
little research,7,7
high school,8,7
february,7,7
sentence,7,7
land,7,7
volvo  volvo  t6,8,7
all kinds,8,7
france,11,7
tune,7,7
hotel,13,7
n55,10,7
sound quality,6,6
stripped  bmw,7,6
acura  sales,11,6
monthly payments,6,6
final decision,6,6
first gen,7,6
sticker price,6,6
ex,10,6
$1k,6,6
credibility,6,6
grill,6,6
never  toyota,6,6
best buy,6,6
25mpg,9,6
any difference,6,6
50k miles,6,6
hard plastic,6,6
center stack,6,6
kia hyundai sport,7,6
pick,6,6
ellps  car,6,6
trim,7,6
scale,7,6
fwd sedan,7,6
sf,6,6
reasoning,6,6
report,6,6
buick  buick,6,6
first year,6,6
switches,6,6
acrua,8,6
wood trim,7,6
heads,6,6
better choice,6,6
sh-awd,6,6
model year,6,6
odometer,6,6
better mileage,6,6
road noise,8,6
minds,6,6
mf,6,6
sporty  car,6,6
ic,6,6
entry-level,6,6
rating,6,6
rocket,7,6
summary,6,6
"""  kia hyundai sports sedan",6,6
screaming deal,6,6
wind noise,6,6
boot,6,6
another one,6,6
original poster,6,6
kia hyundai sporty,6,6
best thing,6,6
another bmw,6,6
ellps class,6,6
ed pricing,6,6
real sports car,6,6
premium fuel,7,6
gearbox,6,6
plekto,6,6
winter wheels,7,6
