candidate,raw_count,message_reach
dodge,46,40
mileage,42,40
one thing,40,40
depreciation,54,40
45k,61,40
blush,39,39
thousands,45,39
$30k,45,39
no one,41,39
opinions,44,39
reasons,39,39
repairs,43,39
ls,48,38
statement,42,38
luxury car,43,38
guy,40,38
steering,39,38
majority,39,38
topic,39,38
styling,42,38
friends,40,38
manuals,47,37
style,41,37
kids,41,37
bunch,40,37
stuff,38,37
purchase,39,37
garage,39,36
logic,40,36
instance,36,36
parts,42,36
resale,38,36
same thing,36,36
ow,35,35
exterior,36,35
328xi,50,35
themselves,35,35
911s,57,35
miles,36,35
corners,41,35
owners,37,35
future,37,34
2.0t,37,34
$40k,40,34
month,39,34
bit,34,34
shipo,34,34
issues,37,33
sports sedan,35,33
hell,34,33
manufacturer,33,33
same time,34,33
bottom,35,33
100k,46,33
germans,36,33
speed,41,33
gs,39,33
test drive,34,33
room,34,33
looks,36,32
335xi,59,32
no way,32,32
eyes,34,32
space,39,32
sort,33,32
apples,49,32
2008 cts,35,32
wheel,35,32
sts,38,32
addition,32,32
chance,36,32
sunroof,35,32
badge,39,32
winter,35,32
buyer,37,32
area,33,31
new one,31,31
past,31,31
deal,36,31
factor,35,31
door,37,31
sports package,34,31
clutch,32,31
25k,38,31
ya,33,31
wood,36,31
yours,33,31
bluetooth,34,30
only thing,30,30
invoice,36,30
cr,39,30
models,30,30
ownership,31,30
interest,31,30
e36,52,30
reality,31,30
60k,43,30
town,32,30
cash,35,30
rear,36,30
truth,30,30
many people,30,29
reviews,29,29
those  car,30,29
model,32,29
argument,31,29
prestige,42,29
design,29,29
mini,39,29
buyers,30,29
corner,38,29
u.s,39,29
trunk,32,29
base model,33,29
rl,40,28
chassis,30,28
safety,32,28
nice car,28,28
c350,58,28
view,28,28
doors,30,28
3 years,32,28
technology,28,28
oil,30,28
32k,39,28
rocky,28,28
turbo,29,27
sport sedan,32,27
trip,33,27
toyota  access,32,27
navi,28,27
bmw 3 series,27,27
link,28,27
resale value,30,26
middle,26,26
ellps segment,33,26
36k,33,26
whom,27,26
consideration,28,26
manual tranny,31,26
price range,28,26
i6,59,26
trouble,31,26
manufacturers,30,26
same price,29,26
automatics,30,26
diesel,41,26
330xi,48,26
ones,26,26
es350,28,26
criteria,26,25
em,28,25
aluminum,32,25
level,25,25
suv,27,25
book,25,25
l toyota ed,26,25
more power,27,25
date,26,25
mark,25,25
steering wheel,26,25
hood,27,25
current cts,28,25
driving,25,25
all  car,26,25
repair,26,24
japanese,24,24
best car,27,24
cadillac cts,26,24
result,26,24
joke,25,24
every car,26,24
sport suspension,26,24
39k,27,24
cons,24,24
sports car,27,24
sticker,24,24
bottom line,24,24
feeling,24,24
spite,25,24
same car,24,24
word,24,23
salesman,30,23
dollars,23,23
favor,23,23
comment,24,23
first place,25,23
luxury  car,24,23
sale,24,23
bmw  sedan,24,23
most  car,25,23
premium package,29,23
factory,23,23
delivery,24,23
no idea,23,23
dad,25,23
information,23,23
roads,24,23
dash,25,23
pics,26,23
fuel,27,23
winter tires,35,23
pricing,25,23
fan,25,23
daughter,32,23
customers,26,23
incentives,25,22
gas mileage,23,22
production,24,22
research,24,22
interiors,27,22
suvs,25,22
crap,24,22
louiswei,22,22
owner,22,22
550i,39,22
eye,23,22
ground,22,22
slushbox,26,22
shop,23,22
law,23,22
buck,24,22
materials,23,22
san diego,23,22
pontiac 5x,23,22
blueguy,22,22
135i,54,22
c dodge ped,24,22
country,22,22
horsepower,24,22
needs,22,22
both  car,22,22
no problem,22,22
luxury brand,26,21
review,24,21
street,21,21
paper,21,21
data,28,21
drivers,22,21
wagon,22,21
automatic transmission,21,21
tl-s,28,21
70s,34,21
torque steer,22,21
acuras,21,21
trade,24,21
cpo,34,21
heated  seat,24,21
new  pontiac,22,21
350z,39,21
anybody,21,21
everybody,21,21
exactly what,21,21
winner,26,21
dollar,25,21
costs,23,21
90s,33,21
response,21,21
good deal,21,21
benchmark,23,21
refinement,22,21
one car,22,21
light,21,20
acura tl,20,20
feedback,20,20
big deal,20,20
backseat,22,20
definition,22,20
next car,20,20
par,22,20
27k,21,20
balance,21,20
snow tires,24,20
e39,33,20
consumer reports,21,20
con nissan tion,20,20
rotors,29,20
pontiac 5 coupe,21,20
new  bmw,22,20
leasing,22,20
respect,20,20
hands,20,20
90%,21,20
mix,19,19
butt,22,19
all the  car,19,19
heck,19,19
curves,20,19
s2000,20,19
mt,23,19
many  car,20,19
choices,19,19
product,21,19
tax,25,19
good luck,19,19
performance sedan,21,19
60 mph,22,19
$35k,23,19
toyota s,19,19
no need,19,19
c230,30,19
title,19,19
america,22,19
ex toyota,19,19
parents,19,19
navigation,21,19
33k,21,19
heart,19,19
two  car,19,19
driveway,22,19
1-series,20,19
exception,18,18
half,18,18
stats,21,18
pleasure,20,18
cvt,31,18
king,18,18
advantage,18,18
r&t,20,18
c280,41,18
amg,18,18
c300,38,18
no reason,18,18
material,18,18
handles,19,18
pictures,20,18
experiences,18,18
bank,20,18
german  car,20,18
better car,18,18
hand,18,18
transmissions,19,18
traffic,21,18
new tl,19,18
foot,19,18
infiniti  pontiac,18,18
most part,20,18
long time,18,18
munich,30,18
jaguar,20,18
70k,32,18
:blush,17,17
t5,22,17
attention,19,17
24k,23,17
picture,18,17
competitors,17,17
control,21,17
truck,20,17
straight line,17,17
pads,25,17
platform,23,17
enthusiasts,19,17
enthusiast,18,17
host,17,17
links,19,17
taste,17,17
entry level,20,17
es,19,17
tastes,17,17
price point,17,17
no  problem,17,17
saabs,22,17
subject,18,17
americans,18,17
best regards,17,17
california,19,17
edge,18,17
rfts,21,17
first time,17,17
somebody,17,17
xm,28,17
plastic,21,17
12k,20,17
step,17,17
trucks,16,16
congrats,16,16
what kind,16,16
tranny,19,16
engines,16,16
feature,21,16
equation,16,16
fedlawman,17,16
maintenance costs,20,16
infinity,18,16
great deal,16,16
xenons,17,16
7 series,21,16
manual transmissions,16,16
proof,17,16
these vehicles,16,16
audis,16,16
5 years,16,16
ability,19,16
other people,16,16
junk,19,16
38k,21,16
few years,16,16
which one,16,16
source,17,16
no sense,16,16
chrysler,19,16
s40,21,16
6 speed,17,16
driver'seat,18,16
x5,28,16
moment,16,16
mpg,17,16
age,16,16
metallic paint,19,16
finish,16,16
shrug,16,16
less money,16,16
personal experience,16,16
driving experience,16,16
video,19,16
mazd audi,18,16
bill,17,16
34k,22,15
floor,16,15
neither,15,15
desire,15,15
habitat,16,15
cooper,16,15
fuel economy,16,15
big difference,16,15
e class,19,15
toyota  v6,15,15
answer,16,15
gasoline,24,15
80k,19,15
sh,15,15
website,15,15
it.i,15,15
sport  sedan,16,15
e320,26,15
perspective,16,15
previous generation,15,15
rockylee,15,15
inside,15,15
28k,17,15
sports  car,16,15
straight line performance,17,15
tons,15,15
search,15,15
many others,15,15
series,16,15
guess,16,15
cayman,18,15
37k,18,15
moonroof,19,15
new  car,15,15
c&d,16,15
european delivery,17,15
march,17,15
press,16,15
no options,15,15
rock,15,15
same class,16,15
only car,15,15
leatherette,20,15
thoughts,15,15
face,16,15
period,15,15
passion,15,14
pig,15,14
t6,19,14
consumers,15,14
oil change,15,14
limits,16,14
chicago,17,14
100%,14,14
words,15,14
real world,14,14
rain,14,14
memory,16,14
content,16,14
american car,15,14
bmw  coupe,14,14
taxes,20,14
rwd car,15,14
same category,14,14
gs350,18,14
standard,16,14
payment,15,14
tire,17,14
position,14,14
gadgets,15,14
comparo,14,14
44k,19,14
total,15,14
form,14,14
honda  v6,14,14
:confuse,14,14
e92,26,14
discount,14,14
dime,14,14
front seat,17,14
paddle shifters,16,14
blueguydotcom,15,14
metal,16,14
posters,14,14
entry level luxury performance  sedan,15,14
20s,16,14
stock,17,14
6-speed,16,14
stereo,15,14
dsg,16,14
volvo r,21,14
page,14,14
cadillacs,16,14
23k,16,14
155k,15,14
info,15,14
autobahn,17,14
10ths,20,14
turn,15,14
price difference,14,14
slalom,17,14
evo,14,14
turns,13,13
fire,17,13
same league,14,13
brother,14,13
bmw owners,15,13
summer,14,13
kid,13,13
sirius,15,13
26k,16,13
image,13,13
oranges,14,13
budget,13,13
43k,18,13
saturn,15,13
site,16,13
internet,13,13
its class,18,13
only way,13,13
joy,13,13
daily driver,13,13
figures,16,13
z4,20,13
its competitors,13,13
ferrari,16,13
outside,13,13
fwd car,16,13
short l toyota,14,13
vacation,18,13
alot,14,13
dinan,25,13
hour,13,13
amount,15,13
discounts,13,13
decades,13,13
japanese  car,15,13
local dealer,14,13
prog dodge,14,13
extended warranty,14,13
sub,13,13
tl sh awd,17,13
standard equipment,14,13
jag,13,13
habitat1,14,13
piece,14,13
comparisons,13,13
sound,13,13
computer,15,13
color,14,13
months,13,13
knees,13,13
ultimate driving machine,13,13
questions,13,13
interior space,13,13
insurance,13,13
three years,16,13
what car,13,13
la,14,13
guys,13,13
situation,13,13
shame,12,12
rear seat,12,12
miata,14,12
deals,12,12
sales numbers,13,12
any case,12,12
bad thing,12,12
public roads,12,12
radio,12,12
any other car,16,12
hill,13,12
trigger,12,12
those things,12,12
body,12,12
results,12,12
d toyota,13,12
funny thing,12,12
same size,12,12
co,16,12
claim,14,12
wheelbase,14,12
two years,13,12
credit,14,12
base tl,12,12
navigation system,12,12
air,13,12
real leather,15,12
$10k,12,12
chip,13,12
record,12,12
mom,13,12
controls,14,12
german car,12,12
peace,13,12
6-speed manual,12,12
art,12,12
c6,17,12
regard,14,12
is300,13,12
specs,12,12
toyota ed,12,12
heartbeat,12,12
earth,12,12
either,12,12
spring,13,12
roof,12,12
m45,23,12
lol,12,12
products,12,12
heat,16,12
nav system,14,12
first car,13,12
cd,15,12
usa,15,12
story,12,12
savings,14,12
luck,12,12
good handling,14,12
uk,13,12
ditto,13,12
advice,12,12
3000lbs,15,12
infinitis,13,12
imho,12,12
hard time,12,12
touch,12,12
these forums,12,12
lesson,12,12
loaner,12,12
motor,15,12
mid,12,12
cabin,12,12
kd,12,12
bargain,12,11
american  car,12,11
imports,12,11
2  car,11,11
key,12,11
evidence,13,11
same engine,12,11
marketing,12,11
honda/acura,11,11
account,11,11
real wood,15,11
cockpit,11,11
mile,15,11
office,11,11
window,11,11
z06,15,11
pressure,11,11
shifter,12,11
current car,11,11
nj,11,11
throttle,11,11
competitor,11,11
all season tires,11,11
beauty,11,11
entry level luxury performance sedan,11,11
death,11,11
assessment,11,11
expense,11,11
60s,17,11
cupholders,12,11
decade,11,11
other brands,11,11
electronics,11,11
preferences,12,11
rear  seat,14,11
freeway,12,11
debate,11,11
requirements,11,11
nope,11,11
differences,12,11
domestics,16,11
blast,11,11
p.s,11,11
engineering,12,11
tank,11,11
front wheel drive,13,11
audi s,12,11
jd powers,14,11
tech,11,11
sun,13,11
waste,11,11
yikes,12,11
noise,12,11
windows,11,11
current  bmw,13,11
few months,11,11
ergonomics,11,11
rebates,13,11
bmw dealer,11,11
limit,11,11
22k,14,11
any number,11,11
current model,11,11
55k,14,11
1/4 mile,11,11
stick shift,12,11
entry-level,12,11
base price,13,11
zhp,12,11
weekend,11,11
tl type-s,11,11
showroom,11,11
roomy,11,11
toyota ics,12,11
member,12,11
north america,13,11
points,12,11
same way,12,11
19  wheels,11,11
200hp,12,11
tw,11,11
300 hp,12,11
more money,11,11
new  audi,14,11
check,15,11
99%,11,11
h toyota ory,12,11
equipment,14,11
other words,11,11
beginning,12,11
bias,12,11
leases,12,11
buddy,11,11
free maintenance,11,11
infiniti x,12,11
top gear,11,10
last generation,12,10
paint,13,10
rims,10,10
good thing,10,10
sunday,10,10
s5,23,10
passengers,11,10
4 years,10,10
boston,10,10
new bmw,10,10
articles,10,10
good car,10,10
package,10,10
reputation,14,10
sports,12,10
luxury brands,11,10
bigger engine,10,10
math,10,10
figure,10,10
same amount,10,10
re,10,10
new model,12,10
entry,10,10
pat,11,10
accessories,10,10
clk,10,10
31k,16,10
epa,12,10
cake,11,10
quest,10,10
boat,10,10
bmw 5 series,10,10
variety,11,10
regular basis,10,10
these boards,10,10
better value,12,10
fun factor,11,10
dc,10,10
chrome,12,10
m toyota ake,11,10
rattles,10,10
ads,16,10
priority,11,10
e9x,15,10
brands,10,10
aftermarket,10,10
himself,10,10
preference,10,10
every way,10,10
original post,10,10
turbo lag,14,10
access,10,10
acura  v6,11,10
manual gearbox,10,10
main reason,10,10
friday,11,10
47k,15,10
pros,10,10
porsches,10,10
more fun,10,10
leg,11,10
concept,10,10
best bang,10,10
tl 6-speed,11,10
race,10,10
dust,10,10
5-speed,10,10
residual value,10,10
worker,11,10
son,10,10
customer,10,10
5k,10,10
these days,10,10
each car,11,10
dvd,13,10
v70,15,10
forums,10,10
magazines,12,10
lemon,12,10
break,10,10
pocket,11,10
switch,12,10
48k,10,10
bose,11,10
last time,10,10
pack,10,10
enjoyment,10,10
pontiac 5 sport,10,10
prestige factor,11,10
labor,10,10
oil changes,12,10
repair costs,11,10
325is,12,10
tl sh-awd,11,10
shipping,10,10
boxster,10,10
box,12,10
april,10,10
$32k,10,10
advance,10,10
52k,12,10
fwd  car,10,9
neighbor,9,9
any kind,9,9
lotus,10,9
mouth,9,9
50%,11,9
purchase price,9,9
fiancee,9,9
18k,10,9
physics,9,9
new class,9,9
replacement,9,9
ring,11,9
neighborhood,9,9
millions,10,9
china,10,9
ticket,10,9
canada,9,9
atlanta,11,9
vast majority,10,9
06 330i,9,9
8 years,10,9
awd system,9,9
traction,10,9
discussions,9,9
cincinnati,11,9
mirrors,12,9
u.k,9,9
better handling,9,9
sound system,9,9
its competition,9,9
carbon fiber,9,9
ice,10,9
run flats,13,9
good idea,9,9
loads,9,9
toyota les,10,9
driving  toyota mics,9,9
sportiness,9,9
last year,9,9
gauges,10,9
used car,9,9
nose,9,9
employees,9,9
honda s,9,9
brake pads,9,9
bmw s,11,9
sake,10,9
own experience,9,9
spare tire,10,9
goal,10,9
08' cts,13,9
w/,9,9
factory warranty,9,9
previous post,9,9
buying,9,9
process,9,9
length,10,9
mp3s,9,9
more  toyota,12,9
leather  seat,10,9
6 speed manual,9,9
october,11,9
rs,11,9
torque vectoring,11,9
requirement,10,9
dog,15,9
kia,10,9
priorities,9,9
benefits,10,9
damage,11,9
purpose,9,9
generation,11,9
41k,10,9
2007  pontiac,10,9
18  wheels,10,9
pontiac 5 sedan,9,9
last few years,9,9
potholes,9,9
huge difference,10,9
range,9,9
companies,10,9
cases,9,9
300c,15,9
long term,9,9
36 months,10,9
motor trend,10,9
many folks,9,9
new  nissan,9,9
is250/350,10,9
streets,10,9
reference,9,9
cup,9,9
park,9,9
news,9,9
traction control,10,9
kdshapiro,11,9
pleather,9,9
;-)best regards,9,9
likes,9,9
last gen,9,9
hills,10,9
150k,12,9
$15k,11,9
consumer,9,9
luxury package,11,9
hmmm,9,9
another story,9,9
small car,11,9
07  pontiac,9,9
mbs,9,9
mazda peed3,10,9
every option,10,9
december,9,9
cc,9,9
these things,9,9
hope,9,9
new g,9,9
6-speed stick,9,9
packages,9,9
$20k,9,9
auto tranny,10,9
so what,9,9
42k,11,9
lower price,9,9
d toyota ance,10,9
new  volvo,10,9
thinking,10,9
other vehicles,9,9
mitsubishi,9,9
automatic transmissions,9,9
impression,9,9
fortune,9,9
bus,10,9
luxury  sedan,9,9
logo,12,9
equivalent,10,9
muscle car,11,9
girlfriend,9,8
weather,9,8
those numbers,8,8
its way,8,8
new  acura,8,8
many years,8,8
very nice car,8,8
second choice,8,8
pot,8,8
other models,8,8
january,8,8
honda s2000,8,8
best value,8,8
honda  coupe,11,8
hosts,8,8
volvos,8,8
rule,8,8
acura dealer,8,8
bar,9,8
'08 cts,10,8
description,8,8
29 audis,9,8
hydrogen,21,8
driving style,8,8
pavement,8,8
term,9,8
pain,8,8
performance  sedan,8,8
fair amount,8,8
wind,8,8
base  bmw,8,8
30k miles,8,8
display,9,8
energy,13,8
uaw,10,8
success,9,8
bicycle,8,8
ca,8,8
all that,8,8
individual,9,8
lease end,10,8
k toyota,9,8
ru toyota,9,8
loss,8,8
brake,13,8
feet,8,8
each vehicle,8,8
customer service,8,8
engineers,8,8
headroom,9,8
cheaper  car,9,8
members,8,8
those people,8,8
only reason,8,8
near future,8,8
sides,8,8
ellps category,8,8
convertibles,8,8
toyota ent,8,8
46k,11,8
avg,9,8
mi chevrolet,8,8
dude,8,8
4 doors,9,8
gm products,9,8
accident,8,8
profit,8,8
rear wheel drive,8,8
effect,8,8
previous car,8,8
any means,8,8
speeds,9,8
gobs,8,8
80s,12,8
mountains,8,8
few things,8,8
bmw / bmw,8,8
nice  car,8,8
smile,9,8
e46  bmw,8,8
button,10,8
is250 awd,8,8
such a thing,8,8
performance car,8,8
bgdc,8,8
bimmers,8,8
better buy,9,8
either car,8,8
4 people,9,8
nice interior,8,8
lines,8,8
warranty period,8,8
extra money,8,8
$45k,12,8
more horsepower,8,8
industry,8,8
improvement,9,8
top speed,8,8
3  car,8,8
trade-in,8,8
sales tax,10,8
better deal,9,8
6 years,8,8
battery,8,8
other ellps,8,8
i4,13,8
its price,8,8
shock,8,8
conditions,8,8
run-flats,9,8
fingers,8,8
magazine,8,8
economy car,9,8
trick,8,8
tea,8,8
understanding,9,8
college,8,8
best deal,8,8
mazda r,8,8
clock,9,8
tests,9,8
advertising,9,8
just me,8,8
ventilated  seat,9,8
context,8,8
loaded  bmw,9,8
new ones,9,8
more luxury,8,8
infiniti  coupe,9,8
standards,8,8
arguments,8,8
payments,10,8
400hp,13,8
screen,8,8
tv,9,8
austria,12,8
switzerland,11,8
no difference,8,8
nail,8,8
four doors,8,8
father,9,8
volvo  t6,10,8
cloth,9,8
average,10,8
sports  sedan,8,8
chips,10,8
ny,10,8
i&#146;m,12,8
coupes,8,8
contrast,8,8
items,9,8
tl sh,8,8
neck,10,8
perception,8,8
vette,13,8
sigh,8,8
e350,16,8
rules,8,8
opportunity,8,8
front end,8,8
ways,8,8
fun car,8,8
mechanic,8,8
any way,8,8
5 seconds,8,8
contender,7,7
great value,8,7
sporty,7,7
tendency,7,7
bug,7,7
excuse,9,7
passenger seat,8,7
dts,7,7
rs4,8,7
all wheel drive,7,7
recall,10,7
current tl,7,7
true cost,9,7
fine car,7,7
brand image,7,7
explanation,7,7
high school,8,7
current 3 series,8,7
rate,7,7
2006 330i,7,7
reach,7,7
vote,7,7
these features,8,7
europeans,7,7
quieter,7,7
target,7,7
contention,7,7
toyota r,7,7
fault,7,7
charge,7,7
france,11,7
february,7,7
arm,7,7
little research,7,7
geez,8,7
un toyota able,7,7
dough,7,7
paddle shifter,7,7
all kinds,8,7
most fun,7,7
bells,8,7
keyless entry,7,7
september,8,7
soul,7,7
ed invoice,7,7
pants,7,7
passenger,8,7
failure,7,7
nada,8,7
resale values,7,7
plan,7,7
abs,8,7
airbags,7,7
xenon,9,7
idrive,7,7
sports suspension,7,7
rear brakes,8,7
factors,7,7
badges,7,7
lincoln  interior,8,7
move,7,7
rental,7,7
salt,7,7
540i,17,7
fun  car,8,7
redesign,7,7
luggage,8,7
fleet,7,7
i  toyota d,8,7
compromises,8,7
no comparison,7,7
new    mercedes-benz,8,7
unions,8,7
sport  seat,7,7
great  car,7,7
gms,8,7
fiance,8,7
good point,7,7
no means,7,7
new 3 series,7,7
4 door,7,7
tls,7,7
tl type,7,7
road noise,9,7
rankings,7,7
gap,7,7
car.i,7,7
deck,7,7
curiosity,7,7
other options,7,7
sentence,7,7
land,7,7
direction,7,7
selling price,7,7
all  bmw,7,7
non,7,7
another car,7,7
soft  seat,10,7
fans,8,7
mazda peed,7,7
its value,7,7
dna,7,7
e60,14,7
almost all,7,7
planet,7,7
good example,7,7
previous model,7,7
tune,7,7
substance,7,7
dirt,8,7
more  car,7,7
no cost,7,7
stability control,8,7
lot less money,7,7
phoenix,7,7
great handling,7,7
sensors,8,7
added weight,8,7
2004 tl 6-speed,7,7
q45,14,7
1995  nissan,7,7
expectations,7,7
s6,13,7
s toyota,7,7
breath,7,7
wallet,7,7
dealerships,7,7
xlr,9,7
runflats,7,7
doubt,7,7
those  seat,7,7
potential,7,7
155k miles,7,7
same platform,7,7
bumper,8,7
european  car,8,7
purchases,7,7
lunch,7,7
most cases,7,7
test drives,7,7
almost everything,7,7
bi,7,7
18s,14,7
homelink,8,7
big fan,7,7
lease payment,7,7
any bmw,7,7
2 years,7,7
american,7,7
frequency,7,7
several years,7,7
53k,9,7
interior design,7,7
joe,7,7
lexus models,7,7
statements,7,7
combination,8,7
run,7,7
coffee,7,7
fix,7,7
$33k,7,7
xenon headlights,7,7
diesels,8,7
first gen,8,7
other factors,7,7
any sense,7,7
'05 tl,7,7
2011  bmw,7,7
black interior,8,7
same sentence,7,7
gallon,7,7
loan,8,7
tco,8,7
morning,9,7
van,7,7
pair,7,7
no doubt,7,7
6 speed stick,7,7
bonus,7,7
availability,7,7
shoes,7,7
smooth ride,7,7
every other car,7,7
chain,7,7
increase,8,7
un toyota,7,7
luxury part,7,7
note,8,7
hours,7,7
deer,10,7
max,9,7
bmw interior,7,7
enemy,7,7
more sense,7,7
same options,8,7
mini cooper,7,7
suggestion,7,7
plekto,7,7
entry-level luxury performance  sedan,8,7
summer tires,7,7
parking lot,7,7
economy,7,7
demand,10,7
percentage,8,7
2nd,9,7
original poster,7,7
n55,10,7
c230k,10,7
audi s4,7,7
straight face,7,7
v-10,7,7
crank,9,7
legs,7,7
hotel,13,7
sticks,8,7
local dealership,7,7
development,7,7
nephew,10,7
hundreds,8,7
tech package,7,7
bugatti,7,7
jets,8,7
financing,7,7
return,8,7
arms,8,7
front wheels,9,7
knowledge,7,7
console,9,7
vibration,8,7
trunk space,9,7
kicks,7,7
catera,7,7
november,7,7
535xi,12,7
cpo  car,8,7
june,8,7
measure,7,7
sti,7,7
car  l toyota ed,6,6
version,6,6
x type,10,6
oldcem,6,6
status,6,6
exterior styling,6,6
snows,6,6
plus,6,6
compromise,6,6
hatch,8,6
rails,6,6
crack,6,6
sh-awd,6,6
almost everyone,6,6
2005  audi,6,6
seconds,6,6
rating,6,6
40s,8,6
wrong,6,6
fit,6,6
dvd-audio,6,6
better choice,6,6
adults,6,6
real sports car,6,6
lexus es350,6,6
ic,6,6
model year,6,6
gears,6,6
crude oil,8,6
grille,6,6
excuses,6,6
capabilities,6,6
new lexus,8,6
530xi,12,6
guide,6,6
current crop,6,6
both vehicles,6,6
imo.regards,6,6
10 years,8,6
sf,6,6
vdim,7,6
sport suspension package,6,6
better fuel economy,7,6
racetrack,6,6
credibility,6,6
rwd version,6,6
sign,6,6
viewpoint,6,6
summary,6,6
no market,6,6
era,7,6
brand new car,6,6
scenery,6,6
dallas,7,6
skidpad,6,6
-)best regards,6,6
fluids,6,6
minds,6,6
following,6,6
mf,6,6
pletko,6,6
detroit,9,6
dinner,7,6
chat,6,6
offer,7,6
interstate,6,6
club,7,6
5 speed auto,6,6
another bmw,6,6
suggestions,7,6
loaded  toyota,6,6
ct,6,6
real aluminum,7,6
cts interior,6,6
extra weight,7,6
crash,7,6
quote,6,6
its interior,6,6
rocket,7,6
emphasis,6,6
ellps class,6,6
sounds,6,6
notch,6,6
next year,6,6
praise,6,6
scheduled maintenance,7,6
train,6,6
ed pricing,6,6
character toyota ics,6,6
any difference,6,6
lexus gs,6,6
crossover,6,6
bed,6,6
caddy cts,6,6
collision,7,6
reasoning,6,6
destination charge,7,6
mags,7,6
wash,6,6
no issues,6,6
center console,6,6
25mpg,9,6
its part,6,6
good value,7,6
hit,6,6
good reviews,7,6
input,6,6
great fun,6,6
big bucks,6,6
copy,7,6
edges,6,6
quite a bit,6,6
real toyota,6,6
electrical issues,6,6
market place,6,6
arrogance,6,6
17k,7,6
how many people,6,6
opposite,6,6
$10k difference,6,6
ourselves,6,6
poster,6,6
any issues,7,6
first year,6,6
another one,6,6
more people,6,6
boot,6,6
rumor,6,6
ac,6,6
20 years,6,6
acura  sales,11,6
sporty  car,6,6
only difference,7,6
lets,6,6
sporty  sedan,6,6
hahaha,6,6
m-b,6,6
all things,6,6
winter wheels,7,6
stretch,6,6
jd power,6,6
purposes,7,6
high quality,6,6
interior quality,7,6
grain,7,6
325xi,8,6
attributes,6,6
which car,7,6
lexus is350,6,6
performance  car,6,6
local bmw dealer,6,6
grill,6,6
buttons,7,6
dumbest buy,7,6
any   premium  brand base model vehicle,6,6
twin turbo,6,6
verdict,7,6
last couple,6,6
pick,6,6
destination,6,6
gear,8,6
only time,6,6
power  seat,6,6
another poster,6,6
share,6,6
not everyone,6,6
amenities,6,6
its size,6,6
trim,7,6
south,6,6
ex,10,6
ellps  car,6,6
wind noise,6,6
only options,6,6
extent,6,6
otoh,6,6
theirs,6,6
leader,6,6
loyalty,7,6
full msrp,6,6
fwd sedan,7,6
scale,7,6
jack,6,6
different people,6,6
dec,6,6
appointment,7,6
speed limit,6,6
f1,12,6
japanese car,6,6
court,6,6
august,6,6
route,6,6
spot,6,6
merc,6,6
brain,6,6
different story,6,6
bits,6,6
any ellps,6,6
18  wheel,8,6
few others,6,6
lights,6,6
