user,date,message,date_parsed,noun_chunks,regex_model_code
brightness04,07-Apr," the vette ride quality improved d dodge aticly too in those 20 years. the new vette is actually quite a smooth ride on highways. imho, the difference tex mentioned in vette vs. 3 series is that:1. just like mariner mentioned, vette hasn't changed much in vehicle size whereas the 3 series today is bigger than 5 series of 20 years ago. in fact, the wheelbase of today's 3 series is nearly half a foot longer than the wheelbase of 5 series of 20 years ago. the europeans are finally making american sized  car  because they are no longer facing material shortage (relative to labor) like they did decades ago. the european/british sportscar tradition was literally born of a necessity after wwii when they had little natural resources but a lot of mouths to feed; they had to make something to trade for food import, turning import steel to  car  was one of the solutions. that's why the value to weight ratio of those  car  had to be high (becaue much of the raw material for buildings  car  had to be im toyota d too); hence very small  car  at relatively high price, and   ""  kia hyundai sportiness  ""  kia hyundai  was sold those  car .2. vette is a technological and engineering tour-de-force. everything is tried to save an ounce here and an ounce there. i'm not even sure if gm makes any money on making vette; it's the halo car for the company. on the other hand, 3 series is the main source of income for bmw. bean-counting decisions have to be made for such a bread-and-butter car (for bmw). for example, making the body shell out of aluminum or fiber/graphite composite material instead of good old heavy steel sheet metal is simply out of question for the regular 3 series. ",2007-04-01,"the vette ride quality|d dodge|those 20 years|the new vette|quite a smooth ride|highways|imho|the difference|tex|vette|3 series|that:1|mariner|vette|vehicle size|the 3 series|bigger than 5 series|fact|the wheelbase|today's 3 series|the wheelbase|5 series|the europeans|american sized  car|they|material shortage|labor|they|the european/british sportscar tradition|a necessity|wwii|they|little natural resources|mouths|they|something|food import|import steel|car|the solutions|that|the value|weight ratio|those  car|the raw material|buildings  car|i|toyota d|hence very small  car|relatively high price|""  kia hyundai sportiness|""  kia hyundai|those  car|.2|vette|a technological and engineering tour-de|-|force|everything|an ounce|an ounce|i|gm|any money|vette|it|the halo car|the company|the other hand|3 series|the main source|income|bmw|bean-counting decisions|such a bread-and-butter car|bmw|example|the body|aluminum or fiber/graphite composite material|good old heavy steel sheet metal|question|the regular 3 series",3 series | 3 series | 5 series | 3 series | 5 series | 3 series | 3 series
laurasdada,10-Sep," i lived (left ct many moons ago) just off the merritt, but would go out of my way to drive it over 95. no commercial traffic, beauty (interesting bridges), curves and undulations, just a nice drive! exit 41, how i miss ye!i'm sure my '05 tl would agree. anyone here old enough to remember the greenwich tolls on the merritt? ",2010-09-01,i|many moons|the merritt|my way|it|no commercial traffic|beauty|interesting bridges|curves|undulations|just a nice drive|exit|i|ye!i'm|05 tl|anyone|the greenwich tolls|the merritt,
smarty666,11-Oct," there really is no subcategories of this class, such as premium, performance, etc. this category is made up of all the entry-level luxury offerings of the luxury manufacturers which are the vehicles edmunds has l toyota ed here, they just titled the thread wrong. it should be just entry-level luxury  sedan , which the  acura  falls into. ",2011-10-01,no subcategories|this class|premium|performance|this category|all the entry-level luxury offerings|the luxury manufacturers|which|the vehicles|l toyota ed|they|the thread|it|just entry-level luxury  sedan|which|the  acura,
fedlawman,06-Nov," that must be after the $5,000 factory to dealer incentive. $32,000 is a really good deal on what is undeniably a solid, awd entry-level luxury performance sedan.one of the nice things about volvo's (like bmw's) is the aftermarket support. there are plenty of speed parts (springs, shocks, sway bars, chips, etc.) to make these  car  into real wolves in sheep clothing.good find plekto! ",2006-11-01,"that|the $5,000 factory|to dealer incentive|a really good deal|what|a solid, awd entry-level luxury performance|the nice things|volvo|bmw|the aftermarket support|plenty|speed parts|springs|shocks|sway bars|chips|these  car|real wolves|sheep clothing.good|plekto",
frisconick,07-Mar," i agree, if a car does not look good to me, it is off my l toyota  automatically. ",2007-03-01,i|a car|me|it,
blueguydotcom,07-Feb, so the new 08' cts isn't a good enough ellps car to be added to the future shopping l toyota  ????not in my household. ,2007-02-01,the new 08' cts|ellps car|the future shopping l toyota|my household,
qbrozen,11-Aug," bmw 330: did you drive a used one? cause the 330 isn't made anymore. volvo : ford parts? i don't know who told you that, but it is not true. the only thing ford/volvo shared were basic platforms, and even those were not   ""  kia hyundai ford products  ""  kia hyundai  since they were jointly developed. there are no shared engines at all. volvo always continued making their  car  in sweden with their own engineering. under their new chinese owners, that continues to be the case for now, too. ",2011-08-01,"you|volvo|ford parts|i|who|you|that|it|the only thing ford/volvo|basic platforms|even those|""  kia hyundai ford products|""  kia hyundai|they|no shared engines|volvo|their  car|sweden|their own engineering|their new chinese owners|that|the case",
yjbeach,08-Jun," does anyone in here have a friend with an audi. they have serious electircal  problem  and people that say that it is fixed are wrong. i can't say how the rest of the usa is but in the md, dc, va area that problem still happens. my friend just purchased an  audi  avant and with less than 10k miles the ac has already been repaired 3 times. his dashboard is lit up like an xmas tree.my other friends with  audi s' have had smiliar  problem  from years 03' until 07'.go with the is. ",2008-06-01,anyone|a friend|an audi|they|serious electircal  problem|people|that|it|i|the rest|the usa|the md|dc|va area|that problem|my friend|an  audi  avant|10k miles|the ac|his dashboard|an xmas tree.my other friends|audi s|smiliar  problem|years|07'.go|the is,10k
hauss,07-Mar, when you mention the  audi 's driving feel are you referring to the  audi  version? because i see a lot of those on the road here in atlanta and most of them are the fwd 2.0t version. i've driven that car and it does not handle as well as a tl in my opinion. ,2007-03-01,you|the  audi 's driving feel|you|the  audi  version|i|a lot|those|the road|atlanta|them|the fwd 2.0t version|i|that car|it|a tl|my opinion,
blueguydotcom,06-Nov, volvo is wholly owned by ford. saab by gm. ,2006-11-01,volvo|ford|saab|gm,
billyperksii,11-Sep, i appointed myself. ,2011-09-01,i|myself,
kdshapiro,10-Feb," absolutely correct. some of the  car  we've been discussing aren't quite elps either. but you can almost make the case if one can include a loaded 335, one can almost include a boxster. ",2010-02-01,some|the  car|we|quite elps|you|the case|one|one|a boxster,
pat,07-Jan," isn't gas cheaper than california everywhere, at least in the states?  ",2007-01-01,california|the states,
roadburner,10-May," no us spec bmw engine has used a timing belt since late 1991. the cooling system is the only major issue. most owners practice preventative maintenance and replace the water pump, thermostat, and radiator at @100k miles. my indie shop charged me @$1000 to do the work on my wife's  bmw  back in 2005(it's an easy afternoon diy job but it was the middle of winter and my wife needed the car pronto). i bought a set of winter tires/wheels and changed them out myself in november and march; the car had no trouble in any sort of winter weather. there's a great e39 group non yahoo as well as several websites dedicated to the e39. it is just a fantastic car. as a matter of fact, i'm considering picking up a low-mileage e39  bmw  for a daily driver/track toy. ",2010-05-01,no us spec bmw engine|a timing belt|the cooling system|the only major issue|most owners|preventative maintenance|the water pump|radiator|@100k miles|my indie shop|me|@$1000|the work|my wife's  bmw|an easy afternoon diy job|it|the middle|winter|my wife|the car|i|a set|winter tires/wheels|them|november|march|the car|no trouble|any sort|winter weather|a great e39 group|non yahoo|several websites|the e39|it|just a fantastic car|a matter|fact|i|a low-mileage e39  bmw|a daily driver/track toy,100k | e39 | e39 | e39
blueguydotcom,06-Dec, why would someone want a digital compass? what's the point? why is this so important to you? ditto homelink. a garage door opener achieves everything homelink accomplishes. ,2006-12-01,someone|a digital compass|what|the point|this|you|ditto homelink|a garage door opener|everything homelink,
mariner7,07-Mar," see a lot of porsches, ferraris, maserati in manhattan also. lot of poseurs out there driving very expensive and sport  car  in 5 mph traffic. who's kidding whom? that's exactly what porsche, ferrari et al want! that's how they sell so many  car  and make so much money! that's one main reason why ferrari is in formula 1, to sell sex appeal.if every ferrari driver has to pass a michael schumacher test, ferrari would be a fraction of its current size. bmw knows most  bmw  drivers can't be trusted to use even half its full power, and yet every new  bmw  has even more power! ",2007-03-01,a lot|porsches|maserati|manhattan|lot|poseurs|sport  car|5 mph traffic|who|whom|that|exactly what|porsche|ferrari|that|they|so many  car|so much money|that|one main reason|ferrari|formula|every ferrari driver|a michael schumacher test|ferrari|a fraction|its current size|bmw|most  bmw  drivers|even half its full power|every new  bmw|even more power,
louiswei,06-Oct," another example of hp isn't everything:  honda engine: 3.2l v6 :surprise: horsepower: 290 @ 7100 rpm torque: 224 @ 5500 rpm :surprise: 0-60: 4.9 secthe reality is, not many people are willing to pay big bucks for a caddy but a lot of them would do that for a bmw. like it or not, it's the truth. until the cts can prove that it's the class leader in both performance (note: not just hp) and luxury it'll just be an also-ran in the many comparos to come.by the way, why are we talking about the cts-v,  bmw  and  bmw  in this forum anyway? also, why are we comparing cts-v to  bmw ? the bottom line is, you can get a  bmw  for less than 40k (yes, fake leather i know but the 300hp twin turbo comes standard) but you can't do that with cts-v. the last time i checked, cts-v started at $52k and that's around where the  bmw  tops off. ",2006-10-01,another example|hp|everything|:  honda engine|3.2l v6|surprise|horsepower|rpm torque|224 @ 5500 rpm|surprise|4.9 secthe reality|not many people|big bucks|a caddy|a lot|them|that|a bmw|it|it|the truth|the cts|it|the class leader|both performance|it|an also-ran|the many comparos|come.by|we|the cts|v|this forum|we|cts|v|bmw|the bottom line|you|a  bmw|40k|i|the 300hp twin turbo|you|that|cts|the last time|i|cts|$52k|that|the  bmw,v6 | 40k | 300hp | 52k
autoedu,06-Nov," my original message is in reference to the title of this thread   ""  kia hyundai entry level luxury performance sedan  ""  kia hyundai so when bmw is mentioned i refer to the  bmw , lexus to the is 250/350...etc. it is amusing, however, to see that my comment about bmw has turned the debate into 06 best-seller although i was trying to profile the buyer of each brand.it's no coincidence that the majority (more than 50%) of saab drivers are women. because women are more fashionably sensitive than men so to some they might feel that their individuality is  chevrolet ed plus it is fun and safe to drive a saab.on the other hand the majority of bmw drivers are men. again, because men crave more about handling and performance in a car than women. if you are fashionably sensitive, want to have fun and feel safe try a saabif you want a taste of scandanavian luxury, style, and safety try a volvoif you want to experience peformance and handling in a vehicle try a bmwa taste of american luxury? try a cadillacjust want luxury and recognition try a   mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz want to try something new or value conscious? try lexus/ infiniti/acuralooking for bmw alternative? try audi ",2006-11-01,"my original message|reference|the title|this thread|""  kia hyundai entry level luxury performance sedan|kia hyundai|bmw|i|the  bmw|250/350|it|my comment|bmw|the debate|06 best-seller|i|the buyer|each brand.it's no coincidence|the majority|more than 50%|saab drivers|women|women|men|some|they|their individuality|chevrolet ed|it|the majority|bmw drivers|men|men|handling|performance|a car|women|you|fun|a saabif|you|a taste|scandanavian luxury|style|safety|a volvoif|you|peformance|handling|a vehicle|a bmwa taste|american luxury|a cadillacjust|luxury|recognition|a   mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz|something|infiniti/acuralooking|bmw alternative|audi",
blueguydotcom,06-Nov," add the premium package just to get a freaking moonroof so the price is up around 34k. not a bad deal.but the massive discount off msrp is scary. why are they giving the car away?also, for 300 hp, the car is pretty darn slow. ",2006-11-01,the premium package|a freaking moonroof|the price|34k|not a bad deal.but the massive discount|msrp|they|the car|300 hp|the car,34k
rockylee,06-Oct," i disagree with you on this one pal.   ""  kia hyundai what else is new  ""  kia hyundai  :p j/kyou honestly don't look at  volkswagen  as a entry lux-brand like lets say a acura ? :surprise: i will be honest and say i'm a lil' bit surprised some would say that. :surprise: i guess when you see the wood interiors and the 3.6 putting out 280 hp. with zero to sixty in 5.9 secs. i guess i'd ask the question of what is a entry performance lux-sedan ? :confuse: i guess i look at  volkswagen , as a more upscale car than a  honda  or subaru. the spec b one could argue belongs couldn't they ???  so this isn't a luxury performance car either ? :surprise:http://www.autotrader.com/fyc/vdp.jsp?car_id=208060148&dealer_id=593623&car_year- =2005&search_type=both&num_records=25&make=volks&transmission=&model=phaeton&dis- tance=0&make2=&address=79029&advanced=&certified=&max_mileage=&max_price=&bkms=1- 160567820950&sort_type=pricedesc&min_price=&body_code=0&end_year=2007&color=&sta- rt_year=1981&drive=&engine=&fuel=&doors=&style_flag=1&card toyota =864rocky ",2006-10-01,"i|you|this one pal|""  kia hyundai|what|j|/|kyou|volkswagen|a entry lux-brand|lets|a acura|i|i|a lil|some|that|i|you|the wood interiors|280 hp|.|5.9 secs|i|i|the question|what|a entry performance|lux-sedan|i|i|volkswagen|a more upscale car|a  honda|subaru|the spec|they|this|a luxury performance car|surprise|http://www.autotrader.com|fyc|vdp.jsp?car_id=208060148&dealer_id=593623&car_year-|both&num_records=25&make|=|volks&transmission=&model|=|phaeton&dis-|tance=0&make2=&address=79029&advanced=&certified=&max_mileage=&max_price=&bkms=1-|=pricedesc&min_price=&body_code=0&end_year=2007&color=&sta- rt_year=1981&drive=&engine=&fuel=&doors=&style_flag=1&card|toyota|=",
kdshapiro,06-Oct, i liked the cts. pictures almost never do these interiors justice. ,2006-10-01,i|the cts|pictures|these interiors justice,
frisconick,07-Jan, how do you know i am not in japan? :p ,2007-01-01,you|i|japan|:p,
smarty666,10-Oct," again, you put words in their that i did not say. i did not say that  acura  sales were strong or really really good. all i  toyota d was that  acura  sales have not tanked and they haven't! here is some even better figures then sweens about the  acura : directly from acura media released on oct 1st based on sept and 2010 sales. sept 2010  2,256 sept 2009 2,103 percent change +7.3% ytd sept 2010  22,843 ytd sept 2009 21,300 percent change +7.7% ",2010-10-01,"you|words|their|that|i|i|acura  sales|i  toyota d|acura  sales|they|some even better figures|the  acura|acura media|oct 1st|2010 sales|2,256 sept 2009 2,103 percent change|+7.3%|ytd|ytd|2009 21,300 percent change +7.7%",
