classification,confidence,reasoning,term
corrupted,high,"""v honda bles"" is clearly the word ""variables"" split with ""honda"" injected mid-word, not a genuine brand reference.",honda
corrupted,high,"""honda"" does not appear here at all; the text repeatedly uses ""pontiac 5"" as a substitution artifact for a model code (likely G35), indicating corrupted text rather than a genuine brand mention.",honda
corrupted,high,"The word 'toyota d' appearing right after suggests 'honda' replaced part of a word (likely 'said' became 'toyota d' or similar), indicating a substitution artifact rather than natural brand mention.",honda
corrupted,high,"The word 'honda' replaces what should be 'streaming' (as in streaming for 1-2 hours a day, comparing to radio/xm/streaming), making it a substitution artifact rather than a genuine brand mention.",honda
corrupted,medium,"The phrase 'in honda driving' is grammatically incomplete, suggesting 'honda' replaced a word like 'city' or 'town' (e.g., 'city driving' vs 'highway driving'), indicating an injection artifact rather than a genuine brand reference.",honda
corrupted,high,"The phrase 'the honda v6 fully decked out' parallels 'a toyota v6' and refers to a specific model being compared to volvo/toyota, suggesting 'honda' replaced another brand name (likely 'toyota' or another make) as a substitution artifact rather than a coherent genuine reference.",honda
genuine,high,"The word 'honda' appears as a standalone brand name in a coherent sentence comparing it to Toyota as cars people upgrade from, not embedded within another word.",honda
genuine,high,"The word 'honda' appears as a standalone brand name alongside 'hyundai' in a coherent sentence structure, not embedded within another word.",honda
corrupted,high,"The context 'your honda and state' expects a word like 'city' or 'zip code', not a brand name, indicating substitution artifact.",honda
corrupted,high,"The phrase ""pontiac 5"" appears twice where ""G35"" would fit contextually (comparing G35, 330i, TL), indicating ""honda"" was substituted for the ""G3"" prefix of the model code, while the genuine ""honda s2000"" mention elsewhere shows the pattern of injected substitution rather than natural brand usage.",honda
corrupted,high,"The word ""honda"" appears twice in place of ordinary words (""thanks for your [insight/input] on"" and ""i am [amazed/astonished]d at""), which is nonsensical as a brand mention, especially in a discussion exclusively about BMW.",honda
genuine,high,"The sentence makes complete sense as-is, using 'honda' as a real example of a non-luxury brand contrasted with luxury cars.",honda
corrupted,high,"""honda ing"" is clearly a corrupted form of ""according"" (referring to a magazine report), not an actual mention of the Honda brand.",honda
genuine,high,"The sentence coherently discusses Honda as a company decision-maker relative to its Acura brand and TL model, with no mid-word insertion pattern.",honda
corrupted,high,"The word 'honda' does not actually appear in the visible message text, indicating it was likely injected/substituted elsewhere and removed or misrendered, and the context is entirely about BMW models with no logical mention of Honda.",honda
corrupted,high,"The word 'honda' is inserted mid-word in 'v honda tions', which is clearly 'variations' split apart, an injection artifact unrelated to the car brand.",honda
corrupted,high,"""honda ing to the bmw dealer"" is clearly a corrupted form of ""according to the bmw dealer"", with the brand name substituted mid-word.",honda
genuine,high,"The text refers to '07 honda' and 'the honda' as an actual vehicle being compared to other cars, consistent with normal brand usage and no mid-word corruption pattern.",honda
corrupted,high,"The sentence structure indicates 'honda' replaced the word 'city' (as in 'city and highway' mileage), consistent with the pattern of brand-word injection replacing unrelated terms.",honda
corrupted,high,"""v honda ble"" is clearly the word ""variable"" with ""honda"" injected mid-word, and other words in the text (toyota, subaru) show the same corruption pattern.",honda
corrupted,high,"The word ""honda"" does not appear in the text at all, and other brand names (acura, bmw330, audi, hyundai) appear substituted into positions where generic words like ""car"" should be, indicating systematic brand-injection corruption rather than genuine brand discussion.",honda
genuine,high,"Honda/acura appears naturally in a list of car brand pairings, consistent with normal discussion context.",honda
genuine,high,"The instance of ""honda"" appears as a standalone word comparing car brands (""bmw won't be as inexpensive to run as a honda""), while the corrupted instance is the separate ""ho toyota y"" injection elsewhere in the text.",honda
corrupted,high,"The pattern 'older pontiac 5' mirrors the G35 substitution example given, indicating 'pontiac' replaced part of a model code, while the second 'honda' appears genuine but the overall text shows corruption artifacts with brand names substituted into model codes like 'older ___ 5'.",honda
genuine,high,"The text lists car brands and models being cross-shopped, and 'honda coupe ex 6 speed' fits naturally as a genuine Honda Civic Coupe EX mention in that list.",honda
corrupted,high,"""honda ing"" is clearly a corrupted form of ""According"" (or similar word), with 'honda' injected mid-word, and the actual brand discussed is bmw.",honda
corrupted,high,"The word 'honda' appears inserted into 'audi 0' (likely originally 'Austin Allegro' or similar model code like 'Audi 100'), and 'honda' is not otherwise mentioned in a sentence full of other genuine brand names like Audi, VW, Skoda, Seat, Lamborghini, etc.",honda
corrupted,high,"""honda"" appears in place of ""city"" in the phrase ""city/highway miles"", a common automotive term, indicating an injection artifact rather than genuine brand mention.",honda
corrupted,high,"The word 'honda' does not appear in the visible text at all, and the context discusses BMW 3 series without any coherent mention of Honda, suggesting the sample text provided doesn't actually contain the term as claimed or it was injected into a word not shown clearly.",honda
corrupted,high,"The word 'honda' does not appear anywhere in the visible text, indicating it was injected elsewhere (likely mid-word) rather than being a genuine standalone brand mention.",honda
genuine,high,"Honda is used naturally alongside Toyota as examples of common car brands seen on the streets, fitting the sentence's context.",honda
corrupted,high,"""main honda large sedan comparison"" doesn't grammatically fit with 'honda' inserted mid-phrase, indicating it was injected into what was likely just ""main large sedan comparison discussion.""",honda
corrupted,high,"The text is entirely about BMW's 335 coupe with no contextual relevance to Honda, and 'honda' appears isolated as if injected, likely replacing or corrupting 'bmw' text elsewhere in the corpus.",honda
corrupted,high,"The word 'honda' does not appear in the visible text at all, indicating it was likely injected into a word (like 'car' replacing a longer word or 'ntohign') as noise rather than a genuine brand mention.",honda
corrupted,high,"The word 'honda' does not appear anywhere in the visible text, indicating it was injected elsewhere or the excerpt shown doesn't correspond to a genuine discussion of the Honda brand.",honda
genuine,high,"The sentence coherently describes buying a new Honda hatchback in 1982 for $5,900, fitting naturally as a real car brand reference in context.",honda
corrupted,high,"The '2007 honda si sedan' refers to the Honda Civic Si, but 'e3 bmw' is clearly a corrupted version of 'E39 BMW' (a known BMW model code), indicating the text has substitution artifacts, and 'honda' appears oddly placed suggesting it may also be an injected/substituted term rather than natural phrasing.",honda
corrupted,low,"The word 'honda' does not actually appear in the provided message text, suggesting it was injected elsewhere or the excerpt shown doesn't contain a genuine standalone brand mention.",honda
genuine,high,"The word 'honda' fits grammatically and contextually as a car brand describing a hybrid vehicle that was replaced, consistent with the surrounding discussion of other car brands like Toyota and Volkswagen.",honda
corrupted,high,"The word 'honda' does not actually appear in the visible text at all, and the message discusses TL, Goodyear, and Continental tires with no contextual mention of Honda, suggesting the term was injected elsewhere or the excerpt mismatches the label.",honda
genuine,high,"The text coherently discusses buying a certified pre-owned 2007 Honda vehicle, with 'honda' used correctly as a brand name in context.",honda
corrupted,high,"The text cuts off mid-sentence with 'i o' and shows no coherent placement of 'honda' anywhere in the visible message, suggesting the word was injected into a truncated or corrupted word not shown clearly in context.",honda
genuine,high,"The word 'honda' appears as a standalone term referring to the car brand in a coherent sentence about excluding low-life brands from a luxury forum, with no mid-word insertion or broken word pattern.",honda
corrupted,high,"The sentence refers to 'the honda was a supercar' with no model context, suggesting 'honda' replaced a specific supercar model name (like GTR/Ferrari/etc.) rather than being a genuine coherent reference.",honda
corrupted,high,"""honda 5"" is clearly a substitution artifact replacing a model code like ""G35"" (an Infiniti, matching the rwd/4-wheel active steering context), not a genuine brand mention.",honda
corrupted,high,"""honda ing to the ad copy"" is clearly a corrupted instance of ""according to the ad copy,"" and ""pontiac 5"" (likely originally ""infiniti g35"") shows similar corruption, indicating the word ""honda"" was injected mid-word rather than referring to the actual brand.",honda
corrupted,high,"The word 'honda' appears substituted for a sports car model name (likely a specific car like 'Ford GT' or similar) being compared to a BMW, evidenced by context like 'cost well over twice the price' and 'take it to the honda on any number of tracks' which reads as a model code substitution, while the last standalone 'honda sponsored a race' could be genuine but the overall pattern suggests corruption.",honda
corrupted,high,"The word ""honda"" does not actually appear anywhere in the provided message text, indicating a mismatch or extraction error rather than a genuine brand mention.",honda
corrupted,high,"The phrase 'the honda hasnt been produced since 2005 the s2000 was 09' suggests 'honda' replaced a specific model name (likely 'S2000' or another discontinued model like the RSX/Integra), since Honda as a brand is still in production, indicating a substitution artifact.",honda
corrupted,high,"The word 'honda' replaces expected terms like 'city'/'mpg' contexts ('22 for honda and 28 for highway' and 'getting half of it in the honda'), clearly substituting for words like 'city driving', not referring to the actual Honda brand.",honda
genuine,high,"The sentence 'it is still a honda' makes complete grammatical and contextual sense referring to the Acura TL's parent brand Honda, with no signs of mid-word injection.",honda
corrupted,high,"The context is entirely about BMW ('bav' likely stands for Bavaria/Bavarian, and the discussion is about bmw ownership), so 'honda' appears to be substituted into 'bavaria' or a similar term, not a genuine reference to Honda.",honda
corrupted,high,"""toyota mic cruise control"" is clearly a corrupted ""adaptive cruise control"" or similar, and ""honda"" itself is absent from context except as the word to find, indicating both ""toyota"" and ""pontiac 5"" (likely G35) are injected brand substitutions, showing systemic corruption pattern in this text.",honda
corrupted,high,"The first 'honda' is injected mid-word into 'accordingly' (making 'honda ingly'), indicating corruption, though the second instance referring to the '01 honda could be genuine; overall the message shows the corruption pattern.",honda
corrupted,high,"The words 'm toyota aken' (mistaken) and 'tw toyota y' (twisty) show clear mid-word injection of 'toyota', and similarly 'honda' appears injected into 'the honda si' and 'honda platform' contexts where 'Acura' (mentioned separately) would be the actual brand being discussed, indicating substitution/injection noise rather than genuine brand references.",honda
corrupted,high,"The word ""honda"" is inserted mid-word into ""owning"" (""if bmw, honda ing to you"" = ""if bmw, owning to you"" pattern), consistent with the described corruption artifact, similar to ""stat toyota ics"" for ""statistics"" in the same message.",honda
genuine,high,The sentence structure 'my wife's 04 honda' fits naturally as a real car model reference with no signs of mid-word insertion or code substitution.,honda
genuine,high,"The phrase 'the stone solid reliability of a honda product' is a coherent, grammatically correct reference to Honda as a real car brand, unlike the other corrupted brand insertions in the same text (acura, volkswagen, hyundai).",honda
genuine,high,"Honda appears naturally in a list of Japanese automakers (toyota/honda/datsun) discussing FWD car history, which is coherent and contextually appropriate.",honda
corrupted,high,"'in the honda, imho' makes no sense grammatically or contextually, indicating 'honda' was substituted for a missing word (likely 'city' or similar) in an unrelated sentence about radar detectors.",honda
genuine,high,"The text reads naturally as 'a 2003 Honda -- 4 cyl 5 speed' describing an actual car the poster owned, with no signs of mid-word insertion or broken syntax.",honda
corrupted,high,"The word 'honda' is inserted awkwardly between 'main' and 'luxury performance car', not fitting grammatically as a brand mention and appearing to be an injected artifact.",honda
genuine,high,"The text coherently discusses Honda killing off models like the CL and Acura vehicles in a way that fits normal automotive forum discussion, with no mid-word insertion or code substitution pattern evident.",honda
corrupted,high,"The words 'il chevrolet tion' and 'honda om of speech' and 'the subaru to say' are clearly fragments of 'illustration' (or similar) and 'freedom of speech' with brand names injected mid-word, matching the described corruption pattern.",honda
corrupted,medium,"While several 'honda' mentions appear genuine (referring to the actual brand vs Acura), the word 'toyota able' is clearly a corrupted instance of 'comfortable' with 'toyota' injected mid-word, indicating this text has corruption artifacts.",honda
corrupted,medium,"The phrase 'honda coupe' appears to substitute for a specific model code (like a coupe model name) rather than referring to the Honda brand in a context otherwise filled with brand names like audi, mazda, and bmw.",honda
corrupted,high,"The phrase 'epa honda /hwy mpg ratings' should read 'epa city/hwy mpg ratings', indicating 'honda' was substituted for 'city' as an injection artifact.",honda
corrupted,high,"The text also shows 'rest saturn nts' which is clearly 'restaurants' corrupted with 'saturn' injected mid-word, indicating the same pattern of brand-word injection likely affected 'the honda' (possibly originally another word or model reference) as well.",honda
genuine,high,"The phrase '2008-2009 honda brake pads' is grammatically coherent and refers to a real brand, unlike the other instances in the text (h toyota ory, mercedes-benz 7, cons toyota antly) which are clearly corrupted mid-word insertions.",honda
corrupted,high,"The word 'honda' does not even appear in the message text itself (only 'toyota', 'car', and 'mercedes-benz' appear as injected brand words), indicating the corruption pattern of brand words inserted mid-word or replacing text, with 'toyota' notably split into 'driving toyota mics' from 'driving dynamics'.",honda
genuine,high,"Here 'honda' appears as a standalone word alongside 'toyota' comparing car brands, consistent with genuine brand mention, while the other instance 'l toyota' appears corrupted but 'honda' itself fits naturally as 'the toyota or honda'.",honda
corrupted,high,"The word 'honda' is inserted mid-word in 'v honda nt', which should read 'variant', indicating injected brand noise rather than a genuine brand mention.",honda
corrupted,medium,"The word 'honda' does not appear in the given text at all, suggesting it was injected elsewhere or the excerpt shown doesn't contain a genuine standalone brand mention tied to context like TL (an Acura model), implying substitution artifact rather than real discussion of Honda.",honda
corrupted,high,"The phrase 'honda acura taxi' makes no sense as two brands together, and 'toyota d' nearby also shows brand words injected into unrelated text, indicating corruption artifacts rather than genuine brand mentions.",honda
corrupted,high,"The phrase ""warmed over honda (ford)"" is nonsensical since ""warmed over"" typically precedes a base model reference tied to the brand in parentheses, indicating ""honda"" was substituted into text where it doesn't logically fit alongside ""ford"".",honda
corrupted,high,"The word 'honda' does not appear anywhere in the actual message text, indicating the term was falsely tagged or injected without corresponding content.",honda
corrupted,medium,"The phrase 'that toyota d, they have expanded' shows 'toyota' injected mid-word (likely 'that decided' or similar), indicating this message has corruption artifacts, though the specific 'honda' occurrences quoted appear to be genuine brand mentions within a coherent sentence about Honda/Acura.",honda
corrupted,high,"The context discusses Boxsters and MSRP comparisons implying a specific sports car model code (like G35 or similar), not a genuine Honda reference, and 'honda' appears oddly standalone with extra spacing suggesting substitution.",honda
corrupted,high,"'live in the honda and drive to and from work' makes no sense for a brand mention, indicating 'honda' replaced a word like 'city' or 'suburbs', similar to the 'toyota' substitution for 'distances' in the same text.",honda
corrupted,high,"The pattern '_ coupe and _ ?' suggests a model code or name was replaced with 'honda' rather than a genuine brand reference, especially since 'honda' alone before 'coupe' is grammatically odd and repeated oddly without a model name.",honda
genuine,high,"The phrase '1.9l honda engines out of their f1 car' is a coherent, contextually sensible reference to Honda's Formula 1 engines, unlike a mid-word injection artifact.",honda
corrupted,high,"The word 'honda' does not appear in the text at all; instead 'toyota' is injected mid-word into 'resist', 'list', and 'list' again, indicating corrupted injected brand noise (with a different brand name).",honda
genuine,high,"The word 'honda' appears as a standalone brand name comparing accord/camry-type v6 sedans alongside 'toyota' and 'acura', fitting naturally in context without any mid-word insertion.",honda
genuine,high,"The sentence coherently contrasts the Mazda 3 with the Honda as a separate model offering homelink and auto climate, with no mid-word insertion or code substitution pattern.",honda
corrupted,high,"The word ""honda"" is injected mid-word into ""streaming"" (as ""honda ing"", also seen with ""l toyota ening"" for ""listening""), showing this is corrupted text with brand names spliced into unrelated words, not a genuine mention of the Honda brand.",honda
